book_id,title,author_id,publisher_id,genre_id
5550,Evil Under the Sun,7009,1239,10
5551,A Murder is Announced,7009,1239,10
5552,4.50 From Paddington,7009,1239,10
5553,The Secret Adversary,7009,1239,10
5554,Five Little Pigs,7009,1239,10
5555,Murder in Mesopotamia,7009,1239,10
5556,Cards on the Table,7009,1239,10
5557,Appointment with Death,7009,1239,10
5558,Curtain: Poirot’s Last Case,7009,1239,10
5559,Hercule Poirot's Christmas,7009,1239,10
5560,Brave New World,7039,1239,16
5561,The Doors of Perception & Heaven and Hell,7039,1239,16
5562,The Color Purple,7069,1292,22
5563,The Temple of My Familiar,7069,1292,22
5564,Possessing the Secret of Joy,7069,1292,22
5565,The Art of Simple Food: Notes and Recipes from a Delicious Revolution,7099,1292,22
5566,Dreams from My Father,7129,1345,28
5567,The Audacity of Hope: Thoughts on Reclaiming the American Dream,7129,1345,28
5568,Beezus and Ramona,7159,1239,34
5569,"Ramona Quimby, Age 8",7159,1239,34
5570,Ramona the Pest,7159,1239,34
5571,Ramona Forever,7159,1239,34
5572,Ramona and Her Mother,7159,1239,34
5573,Runaway Ralph,7159,1239,34
5574,Gossip Girl,7189,1398,40
5575,You're the one that I want,7189,1398,40
5576,You Know You Love Me,7189,1398,40
5577,All I Want Is Everything,7189,1398,40
5578,Because I'm Worth It,7189,1398,40
5579,The Da Vinci Code,7219,1451,46
5580,Deception Point,7219,1451,46
5581,Digital Fortress,7219,1451,46
5582,The Lost Symbol,7219,1451,46
5583,Inferno,7219,1451,46
5584,Infinite Jest,7249,1398,22
5585,Consider the Lobster,7249,1398,22
5586,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,7249,1398,22
5587,Brief Interviews with Hideous Men,7249,1398,22
5588,The Great Gatsby,7279,1345,22
5589,Tender Is the Night,7279,1345,22
5590,This Side of Paradise,7279,1345,22
5591,The Beautiful and Damned,7279,1345,22
5592,The Curious Case of Benjamin Button,7279,1345,22
5593,A Song of Ice and Fire,7309,1504,52
5594,A Clash of Kings,7309,1504,52
5595,A Dance With Dragons: Part 1 Dreams and Dust,7309,1504,52
5596,A Dance With Dragons: Part 2 After The Feast,7309,1504,52
5597,Fevre Dream,7309,1504,52
5598,The Hedge Knight,7309,1504,52
5599,The Sworn Sword,7309,1504,52
5600,The Mystery Knight,7309,1504,52
5601,The Invisible Man,7339,1504,58
5602,The Island of Dr. Moreau,7339,1504,58
5603,The Time Machine and The Invisible Man,7339,1504,58
5604,The War of the Worlds,7339,1504,58
5605,The Time Machine,7339,1504,58
5606,Foundation and Earth,7369,1504,58
5607,The Gods Themselves,7369,1504,58
5608,Forward the Foundation,7369,1504,58
5609,The End of Eternity,7369,1504,58
5610,The Naked Sun,7369,1504,58
5611,The Robots of Dawn,7369,1504,58
5612,Guilty Wives,7399,1345,46
5613,The Murder House,7399,1345,46
5614,Invisible,7399,1345,46
5615,Mistress,7399,1345,46
5616,First Love,7399,1345,46
5617,Sundays at Tiffany's,7399,1345,46
5618,Eclipse,7429,1398,40
5619,Breaking Dawn,7429,1398,40
5620,The Host,7429,1398,40
5621,Kindred,7459,1557,58
5622,"Parable of the Sower (Earthseed, #1)",7459,1557,58
5623,Dawn,7459,1557,58
5624,Fledgling,7459,1557,58
5625,Parable of the Talents,7459,1557,58
5626,"Wild Seed (Patternmaster, #1)",7459,1557,58
5627,Freakonomics,7489,1610,64
5628,SuperFreakonomics,7489,1610,64
5629,The Hobbit or There and Back Again,7519,1239,64
5630,The Fellowship of the Ring,7519,1239,64
5631,The Two Towers,7519,1239,64
5632,The Return of the King,7519,1239,64
5633,The Lord of the Rings,7519,1239,64
5634,The Hobbit and The Lord of the Rings,7519,1239,64
