sliding_tackle,aggression,scaled_sliding_tackle,scaled_aggression
23.0,63.0,0.9676714731426067,3.7238430948229744
26.0,48.0,1.093889491378599,2.83721378653179
33.0,56.0,1.3883982005959141,3.3100827509537547
38.0,78.0,1.5987615643225677,4.610472403114159
11.0,29.0,0.462799400198638,1.7141499960296231
19.0,80.0,0.7993807821612838,4.72868964421965
13.0,38.0,0.5469447456892995,2.2461275810043335
22.0,54.0,0.925598800397276,3.1918655098482636
69.0,60.0,2.9030144194278202,3.5465172331647374
18.0,50.0,0.7573081094159531,2.9554310276372813
91.0,84.0,3.828613219825096,4.9651241264306325
40.0,68.0,1.6829069098132292,4.0193861975867025
16.0,23.0,0.6731627639252916,1.3594982727131493
35.0,80.0,1.4725435460865755,4.72868964421965
73.0,62.0,3.0713051104091433,3.6647344742702286
52.0,65.0,2.187778982757198,3.8420603359284655
12.0,63.0,0.5048720729439687,3.7238430948229744
90.0,92.0,3.7865405470797655,5.437993090852597
11.0,38.0,0.462799400198638,2.2461275810043335
20.0,48.0,0.8414534549066146,2.83721378653179
18.0,34.0,0.7573081094159531,2.0096930987933512
11.0,69.0,0.462799400198638,4.078494818139448
62.0,57.0,2.608505710210505,3.3691913715065005
36.0,43.0,1.5146162188319061,2.5416706837680616
88.0,82.0,3.702395201589104,4.846906885325141
90.0,82.0,3.7865405470797655,4.846906885325141
89.0,88.0,3.744467874334435,5.201558608641615
90.0,66.0,3.7865405470797655,3.9011689564812113
19.0,48.0,0.7993807821612838,2.83721378653179
18.0,31.0,0.7573081094159531,1.8323672371351143
88.0,77.0,3.702395201589104,4.551363782561413
27.0,84.0,1.1359621641239297,4.9651241264306325
26.0,47.0,1.093889491378599,2.7781051659790443
85.0,90.0,3.5761771833531117,5.319775849747106
79.0,89.0,3.3237411468811273,5.26066722919436
66.0,75.0,2.7767964011918282,4.433146541455922
22.0,44.0,0.925598800397276,2.6007793043208074
85.0,93.0,3.5761771833531117,5.497101711405343
27.0,84.0,1.1359621641239297,4.9651241264306325
87.0,84.0,3.6603225288437735,4.9651241264306325
62.0,56.0,2.608505710210505,3.3100827509537547
53.0,67.0,2.2298516555025287,3.9602775770339567
29.0,51.0,1.220107509614591,3.0145396481900266
13.0,25.0,0.5469447456892995,1.4777155138186406
86.0,72.0,3.618249856098443,4.255820679797685
56.0,58.0,2.3560696737385207,3.4282999920592463
38.0,74.0,1.5987615643225677,4.374037920903176
30.0,65.0,1.262180182359922,3.8420603359284655
51.0,58.0,2.145706310011867,3.4282999920592463
83.0,69.0,3.4920318378624504,4.078494818139448
30.0,72.0,1.262180182359922,4.255820679797685
84.0,82.0,3.534104510607781,4.846906885325141
44.0,57.0,1.851197600794552,3.3691913715065005
80.0,85.0,3.3658138196264584,5.024232746983378
40.0,55.0,1.6829069098132292,3.2509741304010094
46.0,49.0,1.9353429462852134,2.8963224070845355
85.0,81.0,3.5761771833531117,4.787798264772396
84.0,86.0,3.534104510607781,5.083341367536123
34.0,93.0,1.4304708733412448,5.497101711405343
88.0,88.0,3.702395201589104,5.201558608641615
87.0,91.0,3.6603225288437735,5.378884470299852
40.0,59.0,1.6829069098132292,3.4874086126119916
86.0,91.0,3.618249856098443,5.378884470299852
86.0,83.0,3.618249856098443,4.906015505877887
12.0,65.0,0.5048720729439687,3.8420603359284655
62.0,45.0,2.608505710210505,2.659887924873553
26.0,52.0,1.093889491378599,3.0736482687427724
87.0,94.0,3.6603225288437735,5.556210331958089
12.0,17.0,0.5048720729439687,1.0048465493966756
26.0,61.0,1.093889491378599,3.6056258537174832
85.0,77.0,3.5761771833531117,4.551363782561413
20.0,56.0,0.8414534549066146,3.3100827509537547
86.0,87.0,3.618249856098443,5.142449988088869
22.0,34.0,0.925598800397276,2.0096930987933512
51.0,71.0,2.145706310011867,4.196712059244939
30.0,70.0,1.262180182359922,4.137603438692194
14.0,32.0,0.5890174184346302,1.8914758576878599
55.0,69.0,2.31399700099319,4.078494818139448
13.0,31.0,0.5469447456892995,1.8323672371351143
18.0,28.0,0.7573081094159531,1.6550413754768774
10.0,43.0,0.4207267274533073,2.5416706837680616
83.0,86.0,3.4920318378624504,5.083341367536123
83.0,75.0,3.4920318378624504,4.433146541455922
64.0,68.0,2.6926510557011665,4.0193861975867025
87.0,80.0,3.6603225288437735,4.72868964421965
56.0,73.0,2.3560696737385207,4.31492930035043
66.0,68.0,2.7767964011918282,4.0193861975867025
