id,character,name
2295,Ivan Vanko / Whiplash,Mickey Rourke
1245,Natalie Rushman / Natasha Romanoff / Black Widow,Scarlett Johansson
6807,Justin Hammer,Sam Rockwell
2231,Director Nick Fury,Samuel L. Jackson
12052,Virginia "Pepper" Potts,Gwyneth Paltrow
1896,Lt. Col. James "Rhodey" Rhodes / War Machine,Don Cheadle
15277,Happy Hogan,Jon Favreau
57451,Christine Everhart,Leslie Bibb
81364,Chess Roberts,Olivia Munn
51072,U.S. Marshal,Kate Mara
113676,Rebecca,Helena Mattsson
3223,Tony Stark / Iron Man,Robert Downey Jr.
52865,Senator Stern,Garry Shandling
21134,Howard Stark,John Slattery
9048,Agent Phil Coulson,Clark Gregg
6162,J.A.R.V.I.S. (voice),Paul Bettany
73641,Herself,Christiane Amanpour
14741,Detective Lemieux,Philippe Bergeron
1209714,Security Force #1,James Bethea
216601,Security Force #2,Michael Bruno
1265248,Expo Fan,Kate Clark
1265249,Russian Newscaster,Luminita Docan
1177850,French Photographer,François Duhamel
586090,Himself,Larry Ellison
1228219,Himself,Adam Goldstein
40275,Major Allen,Tim Guinee
1230885,General Meade,Eric L. Haney
1265250,10 Rings Gangster,Ali Khan
1079976,Anton Vanko,Evgeniy Lazarev
7624,Himself,Stan Lee
1265251,AV Operator,Isaiah Guyman Martin IV
118755,Expo Cop,Keith Middlebrook
210292,Rebeka,Anya Monzikova
1265252,Bambi Arbogast,Margy Moore
57563,Himself,Elon Musk
95777,Himself,Bill O'Reilly
81957,Strawberry Vendor,Alejandro Patino
1265795,Young Tony Stark,Davin Ransom
997632,Guard,Karim Saleh
1265796,Hammer Expo Tech,Brian Schaeffer
201883,French Waiter,Phillipe Simon
1265797,Jack,Jack White
1265798,Ironette Dancer,Melanie Brown
1003061,Ironette Dancer,Krystal Ellsworth
1265799,Ironette Dancer,Victoria Gracie
1202543,Ironette Dancer,Gina Cantrell
1265800,Ironette Dancer,Renee Herlocker
1265801,Ironette Dancer,Jill Ann Pineda-Arnold
571240,Ironette Dancer,Sandy Colton
1265802,Ironette Dancer,Annika Ihnat
108725,Ironette Dancer,Jenny Robinson
1265803,Ironette Dancer,Lindsay Dennis
995348,Ironette Dancer,Jennifer D. Johnson
1265804,Ironette Dancer,Lindsay Rosenberg
1265805,Ironette Dancer,Hannah Douglass
1265806,Ironette Dancer,Brooke Long
83274,Ironette Dancer,Rachele Brooke Smith
168925,Ironette Dancer,Nadine Ellis
1265807,Ironette Dancer,Kylette Zamora
98999,News Cameraman (uncredited),Ted Alderman
1265808,Birthday Party Guest / Expo Guest (uncredited),Donessa Alexander
1265809,Expo Greeter (uncredited),Martin Andris
1265810,Expo Patron (uncredited),Cassity Atkins
1265811,Monaco Grand Prix Restaurant Guest (uncredited),Gregory Baldi
1265812,Bartender (uncredited),Elya Beer
1265813,Model (uncredited),Ayelet Ben-Shahar
1265814,Little Girl at EXPO Gala (uncredited),Jordan Bobbitt
1265815,Dignitary / Expo Attendee (uncredited),Chris Borden
1078574,Air Force Major (uncredited),Pete Brown
1265816,Tony Stark Racing Fan (uncredited),Basilina Butler
1236642,Captain Anders (uncredited),John Ceallach
1231548,Beautiful Girl (uncredited),Katie Cleary
1265817,Expo Guest (uncredited),Ajarae Coleman
1265818,Monte Carlo Race Fan (uncredited),Rick L. Dean
1265819,French Prison Guard #2 (uncredited),Timothy 'TJ' James Driscoll
1225936,Watermelon Girl (uncredited),Jasmine Dustin
97447,Justin Hammer Expo Attendee (uncredited),Mark Casimir Dyniewicz
1265820,Stark Expo Attendee (uncredited),Sam Felman
1265821,I Love You girl (uncredited),Caitlin Gallo
1265822,Pepper's Party Guest (uncredited),Shakira Vanise Gamble
1265823,French Prison Guard #1 (uncredited),Paul Grace
1265824,Expo Fan (uncredited),James Granville
1265825,Expo Attendee (uncredited),Kathryn Henzler
1265826,Expo Attendee (uncredited),Jennifer Lynne Johnson
193946,Prisoner (uncredited),Mark Kubr
1265827,Senate Page (uncredited),Cameron Lee
201951,Reporter (archive footage) (uncredited),Jee-Yun Lee
1200895,Expo Guest (uncredited),Waymond Lee
1200313,Prison Guard Chevalier (uncredited),Mathew Lorenceau
101037,Reporter (uncredited),Christopher Maleki
1265828,Photographer at Senate hearing (uncredited),Richard Markman
1265829,Expo Guest (uncredited),Bryan McCoy
1186481,Awards Attendee (uncredited),Ed Moy
1265830,Russian Woman (uncredited),Delka Nenkova
992389,SWAT Sergeant Bellows (uncredited),Tony Nevada
1265831,Watermelon Girl (uncredited),Allison Ochmanek
208056,French Reporter (uncredited),Nicolas Pajon
1265832,White House Chief of Staff (uncredited),H.E. Victor J.W. Pekarcik III
1265833,Expo Guest (uncredited),Erin Pickett
223048,Expo VIP (uncredited),Olivia Presley
1197358,Senate Gallery Member (uncredited),Steven James Price
1265834,Expo Kid (uncredited),Kiana Prudhont
1265835,VIP Expo Guest (uncredited),Kristin Quick
1265836,1960's Film Crew (uncredited),Tanner Alexander Redman
77824,Security Guard Fighting Happy Hogan (uncredited),Tanoai Reed
1197040,Stark Expo Attendee (uncredited),Kelly Sarah
1265837,Pepper's Birthday Party Guest (uncredited),Torin Sixx
1265838,Senator (uncredited),Peter Trenholm Smith
1265839,Model (uncredited),Grace Stanley
92189,Party Guest (uncredited),Doug Swander
1265840,US Senator (uncredited),Michael A. Templeton
1265841,Background (uncredited),Rosa Tyabji
1122811,Tony Stark Usher (uncredited),Peter Sebastian Wrobel
1205141,Expo Attendee (uncredited),Maria Zambrana
1429470,Stark Expo Attendee (uncredited),Nick W. Nicholson
