row,col,value
0, 16, 0.0246882497784
0, 32, 0.0239370711117
0, 33, 0.0210896267411
0, 137, 0.0122954305691
0, 170, 0.0201970729329
0, 176, 0.0136914465401
0, 306, 0.0202448587683
0, 384, 0.0300214109746
0, 442, 0.0156524310024
0, 498, 0.0169308799695
0, 504, 0.0292917948629
0, 594, 0.033829482483
0, 617, 0.0129978625997
0, 689, 0.0132663498394
0, 714, 0.0210351304783
0, 887, 0.0153774718852
0, 953, 0.057097106304
0, 965, 0.0241013794769
0, 986, 0.0200325761598
0, 1089, 0.0174320390598
0, 1216, 0.0127849075552
0, 1314, 0.0267947689228
0, 1418, 0.017119438416
0, 1437, 0.0325627503942
0, 1497, 0.0350909326779
0, 1508, 0.0286368755486
0, 1716, 0.0154224862866
0, 1730, 0.0239818774173
0, 1804, 0.0524419157511
0, 1830, 0.0124214006428
0, 1876, 0.0128904998316
0, 1916, 0.0312331790158
0, 1942, 0.0111964856939
0, 1976, 0.0336324431755
0, 2003, 0.0202688860844
0, 2074, 0.0503119157107
0, 2131, 0.161411811078
0, 2133, 0.0716835728876
0, 2220, 0.0181730929366
0, 2282, 0.0109166727057
0, 2288, 0.0236859302083
0, 2290, 0.0313679897262
0, 2348, 0.0146270141809
0, 2389, 0.0313679897262
0, 2448, 0.0834123298919
0, 2450, 0.0676589649659
0, 2451, 0.0238945242959
0, 2470, 0.045188346919
0, 2487, 0.0176886510629
0, 2488, 0.0215725856207
0, 2594, 0.0497901611562
0, 2726, 0.0420161105823
0, 2785, 0.01503894218
0, 2819, 0.0112492360609
0, 2938, 0.0686317113122
0, 2999, 0.0155594598994
0, 3017, 0.0164492039252
0, 3092, 0.0265977296154
0, 3145, 0.0305986729906
0, 3229, 0.0245175557106
0, 3270, 0.0194349463416
0, 3300, 0.0238102694983
0, 3316, 0.0245644663397
0, 3418, 0.0611973459811
0, 3421, 0.0309717846719
0, 3500, 0.0280427688513
0, 3539, 0.0744149090172
0, 3572, 0.0219681628725
0, 3620, 0.0209542459641
0, 3627, 0.0325333324209
0, 3740, 0.0184569409475
0, 3803, 0.0123581058385
0, 3817, 0.0168316024424
0, 4022, 0.0264065729655
0, 4043, 0.0225596543882
0, 4048, 0.0271372715338
0, 4055, 0.0320882168741
0, 4093, 0.0262209578756
0, 4147, 0.0245644663397
0, 4205, 0.459000046886
0, 4206, 0.252600783971
0, 4263, 0.0129057275967
0, 4310, 0.0222420996129
0, 4374, 0.0475637814186
0, 4378, 0.0190654242739
0, 4389, 0.0246117231758
0, 4438, 0.0259815553297
0, 4472, 0.027804109964
0, 4478, 0.018420764172
0, 4482, 0.0198271059464
0, 4509, 0.012860152513
0, 4529, 0.0251045256734
0, 4536, 0.0495112459793
0, 4699, 0.0410786279339
0, 4701, 0.0494145923548
0, 4731, 0.0181730929366
0, 4845, 0.0157230560444
0, 4846, 0.0110807956051
0, 4849, 0.00876374600352
0, 4864, 0.0253659200173
0, 4891, 0.0101736606221
0, 4928, 0.0156994277068
0, 4999, 0.0210896267411
0, 5033, 0.0274991346005
0, 5060, 0.0127476140763
0, 5128, 0.0433834394066
0, 5129, 0.0362769611401
0, 5201, 0.0103094241296
0, 5241, 0.0193928193986
0, 5249, 0.0483083039523
0, 5330, 0.0159765645841
0, 5356, 0.0101191643593
0, 5367, 0.0263441015214
0, 5578, 0.0288172613428
0, 5606, 0.0222243279207
0, 5733, 0.0166375490395
0, 5739, 0.0239370711117
0, 5755, 0.087008629298
0, 5756, 0.237096913692
0, 5766, 0.0119056042433
0, 5833, 0.0152994501965
0, 5849, 0.0286368755486
0, 5854, 0.0195846122721
0, 5872, 0.0304789821743
0, 5983, 0.0105581261557
0, 5984, 0.0250135577415
0, 5985, 0.00773008298283
0, 6023, 0.0185299135005
